ID,Category,Name,Method,MethodArgument,RegistryPath,RegistryItem,ClassName,Namespace,Property,DefaultValue,RecommendedValue,Operator,Severity
2300,"Windows Firewall",HardeningKitty-Block-TCP-NetBIOS,FirewallRule,"Any|Inbound|Block|TCP|137,138,139||",,,,,,False,True,=,Low
2301,"Windows Firewall",HardeningKitty-Block-TCP-RDP,FirewallRule,Any|Inbound|Block|TCP|3389||,,,,,,False,True,=,Low
2302,"Windows Firewall",HardeningKitty-Block-TCP-RPC,FirewallRule,"Any|Inbound|Block|TCP|135,593||",,,,,,False,True,=,Low
2303,"Windows Firewall",HardeningKitty-Block-TCP-SMB,FirewallRule,Any|Inbound|Block|TCP|445||,,,,,,False,True,=,Low
2304,"Windows Firewall",HardeningKitty-Block-TCP-WinRM,FirewallRule,"Any|Inbound|Block|TCP|5985,5986||",,,,,,False,True,=,Low
2305,"Windows Firewall",HardeningKitty-Block-UDP-NetBIOS,FirewallRule,"Any|Inbound|Block|UDP|137,138,139||",,,,,,False,True,=,Low
2306,"Windows Firewall",HardeningKitty-Block-UDP-RPC,FirewallRule,"Any|Inbound|Block|UDP|135,593||",,,,,,False,True,=,Low
2307,"Windows Firewall",HardeningKitty-Block-calc-x64,FirewallRule,Any|Outbound|Block|||%SystemRoot%\System32\calc.exe|,,,,,,False,True,=,Low
2308,"Windows Firewall",HardeningKitty-Block-calc-x86,FirewallRule,Any|Outbound|Block|||%SystemRoot%\Syswow64\calc.exe|,,,,,,False,True,=,Low
2309,"Windows Firewall",HardeningKitty-Block-certutil-x64,FirewallRule,Any|Outbound|Block|||%SystemRoot%\System32\certutil.exe|,,,,,,False,True,=,Low
2310,"Windows Firewall",HardeningKitty-Block-certutil-x86,FirewallRule,Any|Outbound|Block|||%SystemRoot%\Syswow64\certutil.exe|,,,,,,False,True,=,Low
2311,"Windows Firewall",HardeningKitty-Block-conhost-x64,FirewallRule,Any|Outbound|Block|||%SystemRoot%\System32\conhost.exe|,,,,,,False,True,=,Low
2312,"Windows Firewall",HardeningKitty-Block-conhost-x86,FirewallRule,Any|Outbound|Block|||%SystemRoot%\Syswow64\conhost.exe|,,,,,,False,True,=,Low
2313,"Windows Firewall",HardeningKitty-Block-cscript-x64,FirewallRule,Any|Outbound|Block|||%SystemRoot%\System32\cscript.exe|,,,,,,False,True,=,Low
2314,"Windows Firewall",HardeningKitty-Block-cscript-x86,FirewallRule,Any|Outbound|Block|||%SystemRoot%\Syswow64\cscript.exe|,,,,,,False,True,=,Low
2315,"Windows Firewall",HardeningKitty-Block-mshta-x64,FirewallRule,Any|Outbound|Block|||%SystemRoot%\System32\mshta.exe|,,,,,,False,True,=,Low
2316,"Windows Firewall",HardeningKitty-Block-mshta-x86,FirewallRule,Any|Outbound|Block|||%SystemRoot%\Syswow64\mshta.exe|,,,,,,False,True,=,Low
2317,"Windows Firewall",HardeningKitty-Block-notepad-x64,FirewallRule,Any|Outbound|Block|||%SystemRoot%\System32\notepad.exe|,,,,,,False,True,=,Low
2318,"Windows Firewall",HardeningKitty-Block-notepad-x86,FirewallRule,Any|Outbound|Block|||%SystemRoot%\Syswow64\notepad.exe|,,,,,,False,True,=,Low
2319,"Windows Firewall",HardeningKitty-Block-RunScriptHelper-x64,FirewallRule,Any|Outbound|Block|||%SystemRoot%\System32\RunScriptHelper.exe|,,,,,,False,True,=,Low
2320,"Windows Firewall",HardeningKitty-Block-RunScriptHelper-x86,FirewallRule,Any|Outbound|Block|||%SystemRoot%\Syswow64\RunScriptHelper.exe|,,,,,,False,True,=,Low
2321,"Windows Firewall",HardeningKitty-Block-wscript-x64,FirewallRule,Any|Outbound|Block|||%SystemRoot%\System32\wscript.exe|,,,,,,False,True,=,Low
2322,"Windows Firewall",HardeningKitty-Block-wscript-x86,FirewallRule,Any|Outbound|Block|||%SystemRoot%\Syswow64\wscript.exe|,,,,,,False,True,=,Low
